global_step,episode,episode_return,episode_length,policy_loss,value_loss,entropy,kl,eval_return
5877,194,27.0,27,,,,,
5920,195,43.0,43,,,,,
5979,196,59.0,59,,,,,
6009,197,30.0,30,,,,,
6055,198,46.0,46,,,,,
6117,199,62.0,62,,,,,
6144,200,,,-0.015610167372506112,75.22833349704743,0.6467952331528067,0.005921541289635006,
6179,200,62.0,62,,,,,
6213,201,34.0,34,,,,,
6327,202,114.0,114,,,,,
6346,203,19.0,19,,,,,
6444,204,98.0,98,,,,,
6531,205,87.0,87,,,,,
6580,206,49.0,49,,,,,
6636,207,56.0,56,,,,,
6719,208,83.0,83,,,,,
6737,209,18.0,18,,,,,
6786,210,49.0,49,,,,,
6883,211,97.0,97,,,,,
7005,212,122.0,122,,,,,
7030,213,25.0,25,,,,,
7079,214,49.0,49,,,,,
7128,215,49.0,49,,,,,
7170,216,42.0,42,,,,,
7270,217,100.0,100,,,,,
7362,218,92.0,92,,,,,
7443,219,81.0,81,,,,,
7538,220,95.0,95,,,,,
7565,221,27.0,27,,,,,
7597,222,32.0,32,,,,,
7654,223,57.0,57,,,,,
7672,224,18.0,18,,,,,
7695,225,23.0,23,,,,,
7712,226,17.0,17,,,,,
7760,227,48.0,48,,,,,
7791,228,31.0,31,,,,,
7860,229,69.0,69,,,,,
7893,230,33.0,33,,,,,
7935,231,42.0,42,,,,,
7984,232,49.0,49,,,,,
8083,233,99.0,99,,,,,
8112,234,29.0,29,,,,,
8192,235,,,-0.012750948595930822,81.67971875667573,0.6227804910391569,0.004701547617389681,
8213,235,101.0,101,,,,,
8273,236,60.0,60,,,,,
8403,237,130.0,130,,,,,
8453,238,50.0,50,,,,,
8607,239,154.0,154,,,,,
8676,240,69.0,69,,,,,
8808,241,132.0,132,,,,,
8842,242,34.0,34,,,,,
8940,243,98.0,98,,,,,
9010,244,70.0,70,,,,,
9178,245,168.0,168,,,,,
9212,246,34.0,34,,,,,
9345,247,133.0,133,,,,,
9463,248,118.0,118,,,,,
9505,249,42.0,42,,,,,
9663,250,158.0,158,,,,,
9833,251,170.0,170,,,,,
9933,252,100.0,100,,,,,
10004,253,71.0,71,,,,,
10139,254,135.0,135,,,,,
10240,255,,,-0.010187483631307259,100.25490534305573,0.6211612557992339,0.004435227271993374,392.8
10274,255,135.0,135,,,,,
10363,256,89.0,89,,,,,
10605,257,242.0,242,,,,,
10769,258,164.0,164,,,,,
10812,259,43.0,43,,,,,
10942,260,130.0,130,,,,,
11072,261,130.0,130,,,,,
11247,262,175.0,175,,,,,
11377,263,130.0,130,,,,,
11516,264,139.0,139,,,,,
11696,265,180.0,180,,,,,
11870,266,174.0,174,,,,,
12085,267,215.0,215,,,,,
12256,268,171.0,171,,,,,
12288,269,,,-0.006336449438822456,108.3020476102829,0.6123999483883381,0.003951338020132774,
12495,269,239.0,239,,,,,
12676,270,181.0,181,,,,,
12778,271,102.0,102,,,,,
13004,272,226.0,226,,,,,
13133,273,129.0,129,,,,,
13378,274,245.0,245,,,,,
13584,275,206.0,206,,,,,
13734,276,150.0,150,,,,,
13861,277,127.0,127,,,,,
13978,278,117.0,117,,,,,
14086,279,108.0,108,,,,,
14258,280,172.0,172,,,,,
14336,281,,,-0.012503205484244972,109.6830950498581,0.5905817143619061,0.005090475079219923,
14400,281,142.0,142,,,,,
14573,282,173.0,173,,,,,
14857,283,284.0,284,,,,,
15205,284,348.0,348,,,,,
15705,285,500.0,500,,,,,
15802,286,97.0,97,,,,,
16031,287,229.0,229,,,,,
16187,288,156.0,156,,,,,
16341,289,154.0,154,,,,,
16384,290,,,-0.005610933195566758,114.14606921672821,0.5761356161907315,0.003086951752720788,
16474,290,133.0,133,,,,,
16655,291,181.0,181,,,,,
16896,292,241.0,241,,,,,
17087,293,191.0,191,,,,,
17321,294,234.0,234,,,,,
17593,295,272.0,272,,,,,
17854,296,261.0,261,,,,,
18007,297,153.0,153,,,,,
18427,298,420.0,420,,,,,
18432,299,,,-0.004935445857699961,114.18811724185943,0.5850331239402294,0.0035642530029463227,
18637,299,210.0,210,,,,,
18886,300,249.0,249,,,,,
19263,301,377.0,377,,,,,
19634,302,371.0,371,,,,,
19912,303,278.0,278,,,,,
20113,304,201.0,201,,,,,
20281,305,168.0,168,,,,,
20480,306,,,-0.003766337090928573,115.34736759662628,0.5703554445877671,0.004824431120027851,434.0
20649,306,368.0,368,,,,,
20995,307,346.0,346,,,,,
21105,308,110.0,110,,,,,
21467,309,362.0,362,,,,,
21808,310,341.0,341,,,,,
22007,311,199.0,199,,,,,
22365,312,358.0,358,,,,,
22528,313,,,-0.0012954431032994762,114.54225962162018,0.5646230205893517,0.003410630433706535,
22566,313,201.0,201,,,,,
23066,314,500.0,500,,,,,
23439,315,373.0,373,,,,,
23666,316,227.0,227,,,,,
24166,317,500.0,500,,,,,
24576,318,,,-0.005494850585819222,117.39105978012086,0.5691030111163855,0.004231882525009221,
24666,318,500.0,500,,,,,
24803,319,137.0,137,,,,,
25212,320,409.0,409,,,,,
25712,321,500.0,500,,,,,
26212,322,500.0,500,,,,,
26556,323,344.0,344,,,,,
26624,324,,,-0.005132807494373992,114.1488089799881,0.567286236025393,0.0037426561774367524,
27056,324,500.0,500,,,,,
27114,325,58.0,58,,,,,
27375,326,261.0,261,,,,,
27653,327,278.0,278,,,,,
28082,328,429.0,429,,,,,
28582,329,500.0,500,,,,,
28672,330,,,-0.006464943682658486,113.7753347158432,0.5504914117977023,0.005000880711185129,
28749,330,167.0,167,,,,,
29215,331,466.0,466,,,,,
29715,332,500.0,500,,,,,
30185,333,470.0,470,,,,,
30615,334,430.0,430,,,,,
30720,335,,,-0.0013191577338147909,114.30819211006164,0.578322272002697,0.0027974150548440062,500.0
31115,335,500.0,500,,,,,
31533,336,418.0,418,,,,,
32033,337,500.0,500,,,,,
32285,338,252.0,252,,,,,
32519,339,234.0,234,,,,,
32768,340,,,-0.002388612591312267,113.7304254770279,0.5841572714969516,0.003133459223347763,
32956,340,437.0,437,,,,,
33456,341,500.0,500,,,,,
33879,342,423.0,423,,,,,
34078,343,199.0,199,,,,,
34578,344,500.0,500,,,,,
34816,345,,,-0.003674955457972828,113.18655896186829,0.56955461576581,0.0044739696017558174,
35078,345,500.0,500,,,,,
35578,346,500.0,500,,,,,
36078,347,500.0,500,,,,,
36578,348,500.0,500,,,,,
36864,349,,,-0.00035332851111888883,113.5654720544815,0.5746575653553009,0.004870857769952873,
37078,349,500.0,500,,,,,
37578,350,500.0,500,,,,,
38078,351,500.0,500,,,,,
38233,352,155.0,155,,,,,
38733,353,500.0,500,,,,,
38912,354,,,-0.002497083542402834,111.17253251075745,0.5712216721847654,0.003222267004587929,
39186,354,453.0,453,,,,,
39302,355,116.0,116,,,,,
39584,356,282.0,282,,,,,
40084,357,500.0,500,,,,,
40390,358,306.0,306,,,,,
40660,359,270.0,270,,,,,
40960,360,,,-0.0047505239315796645,108.51154963970184,0.5615627121180296,0.004373140182286059,500.0
41160,360,500.0,500,,,,,
41392,361,232.0,232,,,,,
41614,362,222.0,222,,,,,
42114,363,500.0,500,,,,,
42462,364,348.0,348,,,,,
42745,365,283.0,283,,,,,
43008,366,,,-0.00010404971544630826,107.9345866203308,0.5826639791950583,0.0036608533955757292,
43245,366,500.0,500,,,,,
43409,367,164.0,164,,,,,
43712,368,303.0,303,,,,,
44011,369,299.0,299,,,,,
44200,370,189.0,189,,,,,
44388,371,188.0,188,,,,,
44612,372,224.0,224,,,,,
44859,373,247.0,247,,,,,
45056,374,,,-0.003862578989355825,103.99146649837493,0.5712703216820956,0.0040818527003125505,
45110,374,251.0,251,,,,,
45284,375,174.0,174,,,,,
45578,376,294.0,294,,,,,
45822,377,244.0,244,,,,,
46322,378,500.0,500,,,,,
